Subject#	Session#	Block#	Stim#	Trial#	Task	Numerosity	P_true	P_reported	x1	x2	CE	
18	1	1	97	1	1	300	0.9	0.834159	0	0	0	
18	1	1	3	2	2	0	0.01	0	75	0	1.5	
18	1	1	134	3	1	500	0.4	0.35233	0	0	0	
18	1	1	207	4	1	300	0.9	0.803442	0	0	0	
18	1	1	130	5	2	0	0.9	0	75	50	68.5	
18	1	1	20	6	1	600	0.25	0.205589	0	0	0	
18	1	1	219	7	1	500	0.99	0.972063	0	0	0	
18	1	1	2	8	2	0	0.01	0	50	0	7	
18	1	1	227	9	1	300	0.05	0.219645	0	0	0	
18	1	1	175	10	1	600	0.05	0.101489	0	0	0	
18	1	1	289	11	1	500	0.1	0.178513	0	0	0	
18	1	1	94	12	1	500	0.75	0.732102	0	0	0	
18	1	1	5	13	1	600	0.01	0.0456552	0	0	0	
18	1	1	234	14	1	500	0.1	0.138544	0	0	0	
18	1	1	160	15	2	0	0.99	0	75	50	74.5	
18	1	1	277	16	1	300	0.01	0.04627	0	0	0	
18	1	1	288	17	1	400	0.1	0.1324	0	0	0	
18	1	1	71	18	2	0	0.4	0	100	50	63	
18	1	1	17	19	1	300	0.25	0.181719	0	0	0	
18	1	1	5	20	2	0	0.01	0	150	0	9	
18	1	1	278	21	1	400	0.01	0.0456198	0	0	0	
18	1	1	128	22	1	400	0.25	0.398319	0	0	0	
18	1	1	21	23	2	0	0.05	0	200	0	12	
18	1	1	35	24	1	600	0.6	0.697285	0	0	0	
18	1	1	267	25	1	300	0.95	0.847573	0	0	0	
18	1	1	46	26	1	200	0.95	0.796985	0	0	0	
18	1	1	123	27	1	400	0.1	0.159972	0	0	0	
18	1	1	143	28	2	0	0.95	0	800	0	624	
18	1	1	43	29	2	0	0.1	0	150	100	115	
18	1	1	191	30	1	200	0.5	0.538992	0	0	0	
18	1	1	296	31	1	200	0.4	0.448571	0	0	0	
18	1	1	82	32	2	0	0.5	0	400	0	152	
18	1	1	198	33	1	400	0.6	0.888356	0	0	0	
18	1	1	60	34	1	600	0.01	0.0510555	0	0	0	
18	1	1	33	35	2	0	0.1	0	75	0	10.5	
18	1	1	103	36	1	400	0.95	0.816777	0	0	0	
18	1	1	83	37	1	400	0.5	0.51529	0	0	0	
18	1	1	123	38	2	0	0.9	0	75	0	55.5	
18	1	1	72	39	1	300	0.25	0.184112	0	0	0	
18	1	1	90	40	1	600	0.6	0.487395	0	0	0	
18	1	1	176	41	1	200	0.1	0.178309	0	0	0	
18	1	1	16	42	2	0	0.05	0	25	0	9.5	
18	1	1	41	43	1	200	0.9	0.740399	0	0	0	
18	1	1	134	44	2	0	0.9	0	200	100	170	
18	1	1	164	45	1	500	0.99	0.9563	0	0	0	
18	1	1	111	46	2	0	0.75	0	200	0	132	
18	1	1	7	47	1	300	0.05	0.171312	0	0	0	
18	1	1	125	48	2	0	0.9	0	150	0	111	
18	1	1	6	49	2	0	0.01	0	200	0	12	
18	1	1	30	50	1	600	0.5	0.444064	0	0	0	
18	1	1	269	51	1	500	0.95	0.896397	0	0	0	
18	1	1	3	52	1	400	0.01	0.0779463	0	0	0	
18	1	1	21	53	1	200	0.4	0.41061	0	0	0	
18	1	1	80	54	1	600	0.4	0.420694	0	0	0	
18	1	1	298	55	1	400	0.4	0.394321	0	0	0	
18	1	1	4	56	2	0	0.01	0	100	0	6	
18	1	1	241	57	1	200	0.4	0.407956	0	0	0	
18	1	1	40	58	2	0	0.1	0	75	50	58.5	
18	1	1	11	59	1	200	0.1	0.196142	0	0	0	
18	1	1	160	60	1	600	0.95	0.904331	0	0	0	
18	1	1	34	61	1	500	0.6	0.44674	0	0	0	
18	1	1	256	62	1	200	0.75	0.66943	0	0	0	
18	1	1	27	63	2	0	0.05	0	150	50	60	
18	1	1	46	64	2	0	0.25	0	25	0	7.5	
18	1	1	96	65	2	0	0.6	0	200	0	84	
18	1	1	231	66	1	200	0.1	0.226536	0	0	0	
18	1	1	23	67	2	0	0.05	0	800	0	80	
18	1	1	159	68	1	500	0.95	0.853769	0	0	0	
18	1	1	54	69	1	500	0.99	0.925902	0	0	0	
18	1	1	112	70	1	300	0.01	0.087535	0	0	0	
18	1	1	302	71	1	300	0.5	0.450712	0	0	0	
18	1	1	213	72	1	400	0.95	0.770448	0	0	0	
18	1	1	136	73	2	0	0.95	0	25	0	18.5	
18	1	1	124	74	2	0	0.9	0	100	0	78	
18	1	1	112	75	2	0	0.75	0	400	0	216	
18	1	1	56	76	2	0	0.25	0	100	50	77	
18	1	1	149	77	2	0	0.95	0	200	100	182	
18	1	1	77	78	2	0	0.5	0	50	0	15	
18	1	1	154	79	1	500	0.9	0.822655	0	0	0	
18	1	1	74	80	1	500	0.25	0.19198	0	0	0	
18	1	1	194	81	1	500	0.5	0.437656	0	0	0	
18	1	1	129	82	2	0	0.9	0	50	25	42.5	
18	1	1	314	83	1	500	0.75	0.801974	0	0	0	
18	1	1	54	84	2	0	0.25	0	50	25	38.5	
18	1	1	179	85	1	500	0.1	0.173055	0	0	0	
18	1	1	55	86	1	600	0.99	0.903942	0	0	0	
18	1	1	286	87	1	200	0.1	0.204258	0	0	0	
18	1	1	268	88	1	400	0.95	0.799444	0	0	0	
18	1	1	8	89	1	400	0.05	0.153979	0	0	0	
18	1	1	292	90	1	300	0.25	0.337792	0	0	0	
18	1	1	216	91	1	200	0.99	0.964867	0	0	0	
18	1	1	119	92	1	500	0.05	0.0963984	0	0	0	
18	1	1	28	93	1	400	0.5	0.5	0	0	0	
18	1	1	137	94	2	0	0.95	0	50	0	37	
18	1	1	110	95	2	0	0.75	0	150	0	81	
18	1	1	58	96	1	400	0.01	0.0575924	0	0	0	
18	1	1	23	97	1	400	0.4	0.450177	0	0	0	
18	1	1	304	98	1	500	0.5	0.483074	0	0	0	
18	1	1	33	99	1	400	0.6	0.475232	0	0	0	
18	1	2	310	100	1	600	0.6	0.581513	0	0	0	
18	1	2	155	101	1	600	0.9	0.815667	0	0	0	
18	1	2	82	102	1	300	0.5	0.40536	0	0	0	
18	1	2	52	103	1	300	0.99	0.920262	0	0	0	
18	1	2	69	104	1	500	0.1	0.083466	0	0	0	
18	1	2	161	105	1	200	0.99	0.938847	0	0	0	
18	1	2	66	106	1	200	0.1	0.159787	0	0	0	
18	1	2	152	107	1	300	0.9	0.833393	0	0	0	
18	1	2	31	108	1	200	0.6	0.606772	0	0	0	
18	1	2	316	109	1	200	0.9	0.880598	0	0	0	
18	1	2	36	110	1	200	0.75	0.761615	0	0	0	
18	1	2	47	111	2	0	0.25	0	50	0	17	
18	1	2	155	112	2	0	0.99	0	150	0	27	
18	1	2	100	113	1	600	0.9	0.852098	0	0	0	
18	1	2	121	114	1	200	0.1	0.226204	0	0	0	
18	1	2	132	115	2	0	0.9	0	150	50	108	
18	1	2	171	116	1	200	0.05	0.161065	0	0	0	
18	1	2	122	117	1	300	0.1	0.179428	0	0	0	
18	1	2	66	118	2	0	0.4	0	200	0	60	
