Subject#	Target_color	Block#	Trial#	Numerosity	N_target	P_true	P_reported	RT	
8	2	1	1	300	144	0.48	0.5	3.38388	
8	2	1	2	500	50	0.1	0.12	9.79043	
8	2	1	3	200	16	0.08	0.08	4.37793	
8	2	1	4	200	54	0.27	0.34	1.78948	
8	2	1	5	400	160	0.4	0.65	1.68189	
8	2	1	6	400	376	0.94	0.99	4.52022	
8	2	1	7	500	150	0.3	0.52	5.08697	
8	2	1	8	500	30	0.06	0.12	7.43909	
8	2	1	9	600	360	0.6	0.87	5.59667	
8	2	1	10	200	150	0.75	0.85	7.1286	
8	2	1	11	400	144	0.36	0.55	4.19678	
8	2	1	12	600	534	0.89	0.91	2.77971	
8	2	1	13	600	30	0.05	0.095	5.28115	
8	2	1	14	300	270	0.9	0.94	2.56071	
8	2	1	15	300	153	0.51	0.74	2.43923	
8	2	1	16	400	388	0.97	0.93	2.8737	
8	2	1	17	200	8	0.04	0.07	3.11347	
8	2	1	18	500	415	0.83	0.78	5.08158	
8	2	1	19	400	280	0.7	0.74	1.60355	
8	2	1	20	600	192	0.32	0.43	3.59009	
8	2	1	21	200	136	0.68	0.68	4.48329	
8	2	1	22	300	3	0.01	0.08	3.78998	
8	2	1	23	300	183	0.61	0.69	3.46318	
8	2	1	24	500	465	0.93	0.92	2.5761	
8	2	1	25	300	63	0.21	0.14	3.16388	
8	2	1	26	600	102	0.17	0.15	3.86105	
8	2	1	27	200	164	0.82	0.9	4.02837	
8	2	1	28	300	285	0.95	0.9	1.67341	
8	2	1	29	200	130	0.65	0.83	4.13603	
8	2	1	30	400	264	0.66	0.72	5.90321	
8	2	1	31	200	66	0.33	0.35	2.78694	
8	2	1	32	600	516	0.86	0.78	3.01037	
8	2	1	33	300	243	0.81	0.88	4.68394	
8	2	1	34	500	220	0.44	0.47	5.14459	
8	2	1	35	200	56	0.28	0.24	2.194	
8	2	1	36	500	210	0.42	0.49	4.00635	
8	2	1	37	200	52	0.26	0.45	6.1496	
8	2	1	38	400	152	0.38	0.48	2.92912	
8	2	1	39	200	86	0.43	0.43	2.39881	
8	2	1	40	400	228	0.57	0.52	2.07709	
8	2	1	41	400	36	0.09	0.12	1.60582	
8	2	1	42	400	236	0.59	0.5	0.608656	
8	2	1	43	400	336	0.84	0.87	1.35196	
8	2	1	44	300	276	0.92	0.895	5.92875	
8	2	1	45	500	170	0.34	0.45	2.77636	
8	2	1	46	500	235	0.47	0.52	2.91814	
8	2	1	47	300	60	0.2	0.31	3.5012	
8	2	1	48	200	142	0.71	0.73	2.85202	
8	2	1	49	500	185	0.37	0.51	2.52024	
8	2	1	50	200	14	0.07	0.12	1.07039	
8	2	1	51	500	15	0.03	0.05	2.38517	
8	2	1	52	600	336	0.56	0.52	1.22661	
8	2	1	53	300	240	0.8	0.84	2.97258	
8	2	1	54	200	90	0.45	0.36	2.25261	
8	2	1	55	400	96	0.24	0.25	0.953008	
8	2	1	56	500	290	0.58	0.51	2.06785	
8	2	1	57	400	116	0.29	0.45	2.2002	
8	2	1	58	600	234	0.39	0.499	2.68503	
8	2	1	59	200	28	0.14	0.32	3.27437	
8	2	1	60	600	108	0.18	0.26	2.007	
8	2	1	61	500	345	0.69	0.86	1.34364	
8	2	1	62	200	82	0.41	0.51	2.98239	
8	2	1	63	500	125	0.25	0.43	2.93742	
8	2	1	64	600	186	0.31	0.38	2.07913	
8	2	1	65	500	55	0.11	0.11	1.49537	
8	2	1	66	500	455	0.91	0.915	3.19013	
8	2	1	67	200	196	0.98	0.99	3.0279	
8	2	1	68	300	189	0.63	0.86	3.38468	
8	2	1	69	300	234	0.78	0.82	2.64049	
8	2	1	70	500	250	0.5	0.38	2.85032	
8	2	1	71	500	365	0.73	0.45	2.73622	
8	2	1	72	300	162	0.54	0.48	3.52846	
8	2	1	73	400	288	0.72	0.56	1.90586	
8	2	1	74	200	170	0.85	0.86	5.73069	
8	2	1	75	400	196	0.49	0.43	2.28869	
8	2	1	76	500	265	0.53	0.43	0.754515	
8	2	1	77	600	78	0.13	0.23	3.03294	
8	2	1	78	600	576	0.96	0.82	4.06135	
8	2	1	79	500	230	0.46	0.38	1.23215	
8	2	1	80	600	138	0.23	0.22	2.68515	
8	2	1	81	600	90	0.15	0.25	0.959618	
8	2	1	82	400	348	0.87	0.83	0.682507	
8	2	1	83	300	36	0.12	0.11	3.528	
8	2	1	84	400	8	0.02	0.06	1.82547	
8	2	1	85	400	308	0.77	0.74	1.57621	
8	2	1	86	600	528	0.88	0.87	1.70296	
8	2	1	87	600	114	0.19	0.27	2.57367	
8	2	1	88	400	256	0.64	0.74	1.70982	
8	2	1	89	300	150	0.5	0.68	4.06855	
8	2	1	90	600	372	0.62	0.65	3.08354	
8	2	1	91	200	158	0.79	0.59	5.6469	
8	2	1	92	600	96	0.16	0.43	7.34656	
8	2	1	93	200	44	0.22	0.25	5.88211	
8	2	1	94	400	296	0.74	0.75	1.82936	
8	2	1	95	600	594	0.99	0.983	3.42097	
8	2	1	96	300	105	0.35	0.368	3.71791	
8	2	1	97	300	228	0.76	0.856	3.03283	
8	2	1	98	600	330	0.55	0.679	2.76837	
8	2	1	99	300	156	0.52	0.645	2.72414	
8	2	1	100	300	201	0.67	0.65	4.15563	
8	2	2	101	500	280	0.56	0.59	3.45966	
8	2	2	102	300	204	0.68	0.23	0.406814	
8	2	2	103	500	430	0.86	0.12	0.980577	
8	2	2	104	600	390	0.65	0.79	3.10495	
8	2	2	105	200	198	0.99	0.989	2.89444	
8	2	2	106	600	564	0.94	0.923	9.70177	
8	2	2	107	200	80	0.4	0.31	4.24329	
8	2	2	108	400	68	0.17	0.12	1.54606	
8	2	2	109	300	192	0.64	0.74	2.16297	
8	2	2	110	500	235	0.47	0.35	3.55359	
8	2	2	111	600	138	0.23	0.213	2.73822	
8	2	2	112	200	126	0.63	0.65	2.7933	
8	2	2	113	500	5	0.01	0.04	9.44089	
8	2	2	114	500	25	0.05	0.12	3.70564	
8	2	2	115	600	546	0.91	0.913	3.04849	
8	2	2	116	600	342	0.57	0.75	15.8554	
8	2	2	117	300	234	0.78	0.88	0.854744	
8	2	2	118	400	148	0.37	0.045	2.04371	
8	2	2	119	600	126	0.21	0.46	3.35194	
8	2	2	120	200	124	0.62	0.856	1.75715	
8	2	2	121	600	510	0.85	0.85	1.39333	
8	2	2	122	200	180	0.9	0.912	3.55356	
8	2	2	123	500	195	0.39	0.78	3.61287	
8	2	2	124	500	75	0.15	0.809	1.43358	
8	2	2	125	500	60	0.12	0.12	0.352171	
8	2	2	126	300	243	0.81	0.872	1.52754	
8	2	2	127	300	57	0.19	0.11	2.06989	
8	2	2	128	400	216	0.54	0.88	2.00624	
8	2	2	129	400	300	0.75	0.91	1.57487	
8	2	2	130	600	294	0.49	0.77	1.88142	
8	2	2	131	500	130	0.26	0.76	5.1318	
8	2	2	132	200	20	0.1	0.11	2.47999	
8	2	2	133	600	174	0.29	0.311	2.93576	
8	2	2	134	400	308	0.77	0.78	1.62496	
8	2	2	135	300	228	0.76	0.7	1.47392	
8	2	2	136	500	55	0.11	0.82	4.55253	
8	2	2	137	500	10	0.02	0.98	1.60163	
8	2	2	138	600	438	0.73	0.87	1.8772	
8	2	2	139	500	490	0.98	0.91	3.11193	
8	2	2	140	200	60	0.3	0.443	3.18988	
8	2	2	141	400	356	0.89	0.28	3.26635	
8	2	2	142	300	132	0.44	0.22	1.80831	
8	2	2	143	400	268	0.67	0.34	2.06907	
8	2	2	144	600	552	0.92	0.21	1.46154	
8	2	2	145	200	92	0.46	0.12	1.19226	
8	2	2	146	400	112	0.28	0.11	1.7076	
8	2	2	147	600	444	0.74	0.11	0.948345	
8	2	2	148	200	144	0.72	0.22	2.82352	
8	2	2	149	300	279	0.93	0.87	3.84137	
8	2	2	150	400	124	0.31	0.11	0.5048	
8	2	2	151	400	232	0.58	0.45	1.94627	
8	2	2	152	400	164	0.41	0.34	0.928935	
8	2	2	153	200	40	0.2	0.11	1.62185	
8	2	2	154	300	129	0.43	0.44	1.97842	
8	2	2	155	300	96	0.32	0.221	1.50031	
8	2	2	156	500	410	0.82	0.11	0.0616008	
8	2	2	157	200	142	0.71	0.8	1.50876	
8	2	2	158	200	48	0.24	0.45	6.42133	
8	2	2	159	400	140	0.35	0.47	4.73291	
8	2	2	160	600	318	0.53	0.53	6.7416	
8	2	2	161	300	27	0.09	0.11	3.05946	
8	2	2	162	600	24	0.04	0.1	1.30508	
8	2	2	163	300	291	0.97	0.89	1.82977	
8	2	2	164	600	366	0.61	0.67	2.21254	
8	2	2	165	400	316	0.79	0.71	3.39055	
8	2	2	166	500	80	0.16	0.23	1.04623	
8	2	2	167	600	48	0.08	0.21	1.04338	
8	2	2	168	600	78	0.13	0.23	1.23863	
8	2	2	169	400	236	0.59	0.33	3.51765	
8	2	2	170	300	198	0.66	0.44	1.67313	
8	2	2	171	500	225	0.45	0.45	1.504	
8	2	2	172	300	288	0.96	0.89	1.69068	
8	2	2	173	300	150	0.5	0.611	4.31518	
8	2	2	174	200	168	0.84	0.899	2.49725	
8	2	2	175	200	14	0.07	0.11	1.90731	
8	2	2	176	300	18	0.06	0.11	1.74001	
8	2	2	177	500	260	0.52	0.77	3.35465	
8	2	2	178	400	168	0.42	0.72	1.56341	
8	2	2	179	200	76	0.38	0.61	1.89802	
8	2	2	180	600	420	0.7	0.61	2.10602	
8	2	2	181	300	108	0.36	0.74	1.66065	
8	2	2	182	400	192	0.48	0.74	1.96259	
8	2	2	183	400	332	0.83	0.85	2.64319	
8	2	2	184	400	12	0.03	0.11	1.62952	
8	2	2	185	400	240	0.6	0.75	3.56433	
8	2	2	186	600	204	0.34	0.43	1.52196	
8	2	2	187	300	99	0.33	0.23	2.50663	
8	2	2	188	500	475	0.95	0.87	2.34485	
8	2	2	189	500	255	0.51	0.54	6.04892	
8	2	2	190	300	261	0.87	0.87	1.78001	
8	2	2	191	400	200	0.5	0.468	4.82077	
8	2	2	192	200	36	0.18	0.12	2.90134	
8	2	2	193	200	138	0.69	0.442	2.04723	
8	2	2	194	500	440	0.88	0.81	1.96726	
8	2	2	195	200	50	0.25	0.32	2.10149	
8	2	2	196	200	44	0.22	0.21	1.02859	
8	2	2	197	600	162	0.27	0.31	2.6317	
8	2	2	198	500	400	0.8	0.23	1.49313	
8	2	2	199	300	42	0.14	0.13	0.222018	
8	2	2	200	200	110	0.55	0.67	1.41729	
8	2	3	201	400	80	0.2	0.034	1.87813	
8	2	3	202	200	76	0.38	0.43	0.898072	
8	2	3	203	300	36	0.12	0.21	0.641999	
8	2	3	204	400	8	0.02	0.11	1.02728	
8	2	3	205	600	528	0.88	0.89	0.87443	
8	2	3	206	200	8	0.04	0.09	2.37966	
8	2	3	207	500	35	0.07	0.11	1.95229	
8	2	3	208	400	304	0.76	0.8	1.45092	
8	2	3	209	300	174	0.58	0.82	1.04167	
8	2	3	210	600	546	0.91	0.78	6.72079	
8	2	3	211	600	474	0.79	0.77	4.96818	
8	2	3	212	600	504	0.84	0.66	1.86089	
8	2	3	213	300	39	0.13	0.13	1.13494	
8	2	3	214	500	130	0.26	0.12	0.00319894	
8	2	3	215	600	570	0.95	0.88	0.947776	
8	2	3	216	400	300	0.75	0.85	1.42916	
8	2	3	217	300	63	0.21	0.21	2.76353	
8	2	3	218	600	276	0.46	0.38	1.64593	
8	2	3	219	400	216	0.54	0.82	1.51276	
8	2	3	220	500	480	0.96	0.92	1.42332	
8	2	3	221	500	460	0.92	0.94	3.3362	
8	2	3	222	600	330	0.55	0.51	6.00569	
8	2	3	223	400	268	0.67	0.45	2.70952	
8	2	3	224	500	240	0.48	0.34	1.40922	
8	2	3	225	300	222	0.74	0.77	2.34068	
8	2	3	226	200	124	0.62	0.87	2.04097	
8	2	3	227	600	522	0.87	0.8	1.38964	
8	2	3	228	300	291	0.97	0.91	1.2527	
8	2	3	229	300	105	0.35	0.14	0.87173	
8	2	3	230	600	516	0.86	0.87	4.64896	
8	2	3	231	200	142	0.71	0.63	3.78143	
8	2	3	232	200	12	0.06	0.23	1.88895	
8	2	3	233	500	390	0.78	0.14	6.56344	
8	2	3	234	400	120	0.3	0.12	1.89716	
8	2	3	235	400	144	0.36	0.44	2.54984	
8	2	3	236	300	297	0.99	0.98	3.58966	
8	2	3	237	200	140	0.7	0.85	7.72863	
8	2	3	238	600	540	0.9	0.89	4.53621	
8	2	3	239	300	57	0.19	0.39	3.44317	
8	2	3	240	400	20	0.05	0.11	2.35897	
8	2	3	241	400	132	0.33	0.33	1.46908	
8	2	3	242	500	425	0.85	0.77	7.33405	
8	2	3	243	300	102	0.34	0.33	4.95292	
8	2	3	244	400	164	0.41	0.31	2.16769	
8	2	3	245	200	114	0.57	0.33	15.9339	
8	2	3	246	600	588	0.98	0.95	1.10371	
8	2	3	247	600	414	0.69	0.73	5.369	
8	2	3	248	300	180	0.6	0.74	6.04069	
8	2	3	249	500	250	0.5	0.43	2.19439	
8	2	3	250	400	12	0.03	0.11	0.208474	
8	2	3	251	500	465	0.93	0.33	4.69621	
8	2	3	252	600	300	0.5	0.77	2.07692	
8	2	3	253	600	132	0.22	0.03	1.55947	
8	2	3	254	400	60	0.15	0.35	8.54452	
8	2	3	255	500	365	0.73	0.41	2.39474	
8	2	3	256	200	102	0.51	0.56	1.78068	
8	2	3	257	200	36	0.18	0.12	1.16929	
8	2	3	258	500	315	0.63	0.61	1.68615	
8	2	3	259	400	128	0.32	0.56	1.8427	
8	2	3	260	200	18	0.09	0.14	0.816967	
8	2	3	261	500	5	0.01	0.08	2.01045	
8	2	3	262	500	410	0.82	0.78	1.87698	
8	2	3	263	400	320	0.8	0.87	2.50578	
8	2	3	264	200	20	0.1	0.12	5.14761	
8	2	3	265	300	192	0.64	0.79	2.12027	
8	2	3	266	600	144	0.24	0.44	5.48816	
8	2	3	267	300	168	0.56	0.077	1.12876	
8	2	3	268	200	166	0.83	0.89	0.668819	
8	2	3	269	300	111	0.37	0.43	0.533479	
8	2	3	270	500	360	0.72	0.78	1.32389	
8	2	3	271	300	156	0.52	0.67	7.80247	
