Subject#	Target_color	Block#	Trial#	Numerosity	N_target	P_true	P_reported	RT	
3	1	1	1	300	6	0.02	0.01	1.12382	
3	1	1	2	600	192	0.32	0.39	1.44601	
3	1	1	3	300	123	0.41	0.545	2.68879	
3	1	1	4	600	444	0.74	0.879	1.39163	
3	1	1	5	200	38	0.19	0.8	3.53292	
3	1	1	6	200	46	0.23	0.54	2.00585	
3	1	1	7	300	288	0.96	0.98	2.18393	
3	1	1	8	400	144	0.36	0.605	3.29377	
3	1	1	9	300	90	0.3	0.49	3.66657	
3	1	1	10	400	88	0.22	0.345	1.04531	
3	1	1	11	200	70	0.35	0.5	4.53769	
3	1	1	12	500	355	0.71	0.77	1.70625	
3	1	1	13	500	260	0.52	0.605	2.25042	
3	1	1	14	300	81	0.27	0.29	2.17452	
3	1	1	15	500	405	0.81	0.87	2.60932	
3	1	1	16	200	154	0.77	0.5	2.10488	
3	1	1	17	200	86	0.43	0.6	2.25845	
3	1	1	18	600	570	0.95	0.899	3.86067	
3	1	1	19	600	126	0.21	0.34	3.13441	
3	1	1	20	500	315	0.63	0.75	1.11973	
3	1	1	21	300	297	0.99	0.999	1.2304	
3	1	1	22	200	92	0.46	0.6	2.84513	
3	1	1	23	500	310	0.62	0.59	2.28697	
3	1	1	24	500	120	0.24	0.305	1.21672	
3	1	1	25	500	170	0.34	0.56	2.22463	
3	1	1	26	500	50	0.1	0.203	2.37803	
3	1	1	27	400	372	0.93	0.93	2.25534	
3	1	1	28	600	222	0.37	0.7	2.20938	
3	1	1	29	500	255	0.51	0.6	2.56174	
3	1	1	30	400	188	0.47	0.6	1.69778	
3	1	1	31	400	60	0.15	0.19	1.52832	
3	1	1	32	400	176	0.44	0.3	2.33415	
3	1	1	33	400	236	0.59	0.6	1.48052	
3	1	1	34	400	224	0.56	0.8	1.71327	
3	1	1	35	600	564	0.94	0.88	1.52548	
3	1	1	36	200	98	0.49	0.6	1.54586	
3	1	1	37	400	300	0.75	0.8	1.48792	
3	1	1	38	500	395	0.79	0.8	2.38688	
3	1	1	39	300	264	0.88	0.9	2.61659	
3	1	1	40	600	96	0.16	0.9	2.64895	
3	1	1	41	400	272	0.68	0.8	1.30877	
3	1	1	42	400	16	0.04	0.05	1.01139	
3	1	1	43	600	540	0.9	0.79	3.21831	
3	1	1	44	600	582	0.97	0.98	1.7234	
3	1	1	45	500	130	0.26	0.66	3.90051	
3	1	1	46	300	33	0.11	0.05	1.73509	
3	1	1	47	300	27	0.09	0.3	4.34755	
3	1	1	48	200	152	0.76	0.67	5.43404	
3	1	1	49	600	360	0.6	0.57	3.65612	
3	1	1	50	400	368	0.92	0.69	2.15014	
3	1	1	51	400	280	0.7	0.6	1.94585	
3	1	1	52	600	468	0.78	0.74	1.15235	
3	1	1	53	200	90	0.45	0.69	2.19342	
3	1	1	54	200	34	0.17	0.2	0.977745	
3	1	1	55	200	78	0.39	0.5	1.69232	
3	1	1	56	400	292	0.73	0.65	2.52745	
3	1	1	57	500	425	0.85	0.86	0.910727	
3	1	1	58	500	250	0.5	0.8	2.58698	
3	1	1	59	400	56	0.14	0.4	2.24087	
3	1	1	60	400	32	0.08	0.6	1.56207	
3	1	1	61	200	14	0.07	0.05	3.1823	
3	1	1	62	200	10	0.05	0.05	0.999803	
3	1	1	63	500	240	0.48	0.5	1.37907	
3	1	1	64	200	116	0.58	0.6	1.84557	
3	1	1	65	600	174	0.29	0.45	1.51267	
3	1	1	66	300	207	0.69	0.78	0.994503	
3	1	1	67	600	492	0.82	0.8	2.7542	
3	1	1	68	500	325	0.65	0.7	2.20183	
3	1	1	69	500	320	0.64	0.87	2.1962	
3	1	1	70	300	9	0.03	0.2	1.54656	
3	1	1	71	600	108	0.18	0.3	0.721606	
3	1	1	72	300	240	0.8	0.87	1.7309	
3	1	1	73	400	364	0.91	0.91	1.15901	
3	1	1	74	600	300	0.5	0.83	1.20907	
3	1	1	75	300	75	0.25	0.39	3.8751	
3	1	1	76	300	252	0.84	0.88	3.27824	
3	1	1	77	600	588	0.98	0.99	1.22553	
3	1	1	78	300	165	0.55	0.607	1.55012	
3	1	1	79	300	84	0.28	0.5	4.14373	
3	1	1	80	500	415	0.83	0.67	0.918547	
3	1	1	81	200	132	0.66	0.78	1.81904	
3	1	1	82	200	2	0.01	0.011	6.11141	
3	1	1	83	200	108	0.54	0.5	2.85628	
3	1	1	84	300	267	0.89	0.8	0.422504	
3	1	1	85	600	522	0.87	0.76	0.182081	
3	1	1	86	500	210	0.42	0.56	2.0251	
3	1	1	87	200	134	0.67	0.7	0.936868	
3	1	1	88	400	52	0.13	0.2	1.04012	
3	1	1	89	600	318	0.53	0.5	1.24696	
3	1	1	90	300	60	0.2	0.3	1.15361	
3	1	1	91	600	72	0.12	0.34	0.876729	
3	1	1	92	500	155	0.31	0.25	1.44885	
3	1	1	93	400	24	0.06	0.15	1.7814	
3	1	1	94	200	114	0.57	0.7	2.46566	
3	1	1	95	500	190	0.38	0.6	1.21208	
3	1	1	96	300	216	0.72	0.8	0.646614	
3	1	1	97	300	99	0.33	0.4	1.57611	
3	1	1	98	200	80	0.4	0.5	1.92593	
3	1	1	99	600	516	0.86	0.8	1.05666	
3	1	1	100	400	244	0.61	0.5	1.17567	
3	1	2	101	200	56	0.28	0.2	1.53018	
3	1	2	102	300	114	0.38	0.4	0.133841	
3	1	2	103	200	100	0.5	0.4	0.602112	
3	1	2	104	300	297	0.99	0.999	0.907143	
3	1	2	105	300	282	0.94	0.99	0.441859	
3	1	2	106	600	528	0.88	0.89	0.279289	
3	1	2	107	400	84	0.21	0.4	1.09085	
3	1	2	108	400	80	0.2	0.3	1.14384	
3	1	2	109	400	292	0.73	0.8	0.992848	
3	1	2	110	400	20	0.05	0.1	0.476245	
3	1	2	111	500	145	0.29	0.3	1.10515	
3	1	2	112	600	534	0.89	0.99	0.770485	
3	1	2	113	500	220	0.44	0.5	0.331406	
3	1	2	114	500	415	0.83	0.7	3.16699	
3	1	2	115	200	80	0.4	0.5	0.176964	
3	1	2	116	600	402	0.67	0.7	0.806627	
3	1	2	117	500	255	0.51	0.5	1.16003	
3	1	2	118	200	164	0.82	0.8	0.829336	
3	1	2	119	300	72	0.24	0.5	1.62083	
3	1	2	120	400	324	0.81	0.7	0.577513	
3	1	2	121	300	213	0.71	0.75	0.303045	
3	1	2	122	200	118	0.59	0.5	0.938084	
3	1	2	123	600	18	0.03	0.05	3.53938	
3	1	2	124	600	258	0.43	0.5	3.24816	
3	1	2	125	400	48	0.12	0.3	0.864104	
3	1	2	126	200	136	0.68	0.6	0.999416	
3	1	2	127	500	390	0.78	0.8	0.506478	
3	1	2	128	500	235	0.47	0.5	0.0029923	
3	1	2	129	500	195	0.39	0.5	0.0329497	
3	1	2	130	400	348	0.87	0.8	2.39403	
3	1	2	131	300	90	0.3	0.45	0.544461	
3	1	2	132	600	246	0.41	0.5	1.9542	
3	1	2	133	600	204	0.34	0.5	0.0706785	
3	1	2	134	400	252	0.63	0.5	0.121815	
3	1	2	135	300	165	0.55	0.6	0.339609	
3	1	2	136	200	70	0.35	0.4	1.72495	
3	1	2	137	200	66	0.33	0.35	0.431761	
3	1	2	138	500	300	0.6	0.67	1.9992	
3	1	2	139	500	360	0.72	0.7	0.971648	
3	1	2	140	300	27	0.09	0.1	1.21706	
3	1	2	141	600	510	0.85	0.89	0.762081	
3	1	2	142	500	370	0.74	0.889	0.833158	
3	1	2	143	600	420	0.7	0.88	2.88229	
3	1	2	144	400	260	0.65	0.06	0.70186	
3	1	2	145	600	252	0.42	0.5	1.02251	
3	1	2	146	600	42	0.07	0.2	1.33574	
3	1	2	147	500	110	0.22	0.2	2.67683	
3	1	2	148	300	159	0.53	0.5	0.0769555	
3	1	2	149	500	5	0.01	0.05	0.980455	
3	1	2	150	500	85	0.17	0.4	2.97989	
3	1	2	151	300	237	0.79	0.7	3.92756	
3	1	2	152	200	160	0.8	0.8	2.05911	
3	1	2	153	600	450	0.75	0.8	1.1855	
3	1	2	154	200	196	0.98	0.99	0.416656	
3	1	2	155	200	98	0.49	0.89	1.99712	
3	1	2	156	300	273	0.91	0.91	0.00303444	
3	1	2	157	300	183	0.61	0.67	1.71628	
3	1	2	158	500	160	0.32	0.65	1.14061	
3	1	2	159	400	144	0.36	0.41	0.129543	
3	1	2	160	600	552	0.92	0.88	0.490458	
3	1	2	161	500	385	0.77	0.73	0.121515	
3	1	2	162	600	114	0.19	0.6	3.71092	
3	1	2	163	400	384	0.96	0.99	0.804381	
3	1	2	164	400	372	0.93	0.97	0.264517	
3	1	2	165	600	384	0.64	0.51	1.44183	
3	1	2	166	600	342	0.57	0.74	1.81806	
3	1	2	167	200	108	0.54	0.5	0.466414	
3	1	2	168	300	75	0.25	0.4	0.0920817	
3	1	2	169	200	194	0.97	0.999	0.0168054	
3	1	2	170	600	12	0.02	0.05	0.844108	
3	1	2	171	200	152	0.76	0.7	1.15854	
3	1	2	172	400	16	0.04	0.06	2.42641	
3	1	2	173	200	100	0.5	0.45	1.28861	
3	1	2	174	400	232	0.58	0.67	1.23188	
3	1	2	175	500	30	0.06	0.46	1.46476	
3	1	2	176	500	430	0.86	0.89	0.666815	
3	1	2	177	400	180	0.45	0.55	1.34213	
3	1	2	178	300	186	0.62	0.65	1.10948	
3	1	2	179	300	30	0.1	0.25	2.90405	
3	1	2	180	200	52	0.26	0.35	3.06607	
3	1	2	181	600	276	0.46	0.5	0.963572	
3	1	2	182	400	32	0.08	0.2	7.19472	
3	1	2	183	400	380	0.95	0.99	1.69185	
3	1	2	184	600	84	0.14	0.34	2.88675	
3	1	2	185	400	60	0.15	0.2	0.0394731	
3	1	2	186	200	26	0.13	0.2	2.67338	
3	1	2	187	400	64	0.16	0.2	1.05533	
3	1	2	188	600	504	0.84	0.8	1.35429	
3	1	2	189	500	115	0.23	0.4	1.45703	
3	1	2	190	300	81	0.27	0.4	2.656	
3	1	2	191	200	112	0.56	0.34	5.73987	
3	1	2	192	500	260	0.52	0.8	1.09737	
3	1	2	193	500	90	0.18	0.4	3.89446	
3	1	2	194	300	144	0.48	0.88	0.0454516	
3	1	2	195	300	111	0.37	0.49	2.10917	
3	1	2	196	400	264	0.66	0.62	2.53283	
3	1	2	197	200	22	0.11	0.1	1.04386	
3	1	2	198	300	207	0.69	0.569	3.66698	
3	1	2	199	300	93	0.31	0.5	0.944043	
3	1	2	200	200	180	0.9	0.78	1.26545	
3	1	3	201	300	279	0.93	0.8	3.25827	
3	1	3	202	300	87	0.29	0.4	0.0453593	
3	1	3	203	400	240	0.6	0.06	1.03887	
3	1	3	204	200	42	0.21	0.2	0.475774	
3	1	3	205	600	198	0.33	0.55	1.71508	
3	1	3	206	400	236	0.59	0.7	1.60795	
3	1	3	207	500	140	0.28	0.49	1.3786	
3	1	3	208	300	270	0.9	0.88	1.43905	
3	1	3	209	200	96	0.48	0.67	1.86068	
3	1	3	210	200	72	0.36	0.5	1.57738	
3	1	3	211	200	76	0.38	0.45	0.276229	
3	1	3	212	500	475	0.95	0.9	3.20171	
3	1	3	213	200	142	0.71	0.7	3.12478	
3	1	3	214	400	272	0.68	0.6	0.812825	
3	1	3	215	200	16	0.08	0.1	3.77394	
3	1	3	216	400	280	0.7	0.7	3.48555	
3	1	3	217	400	340	0.85	0.8	0.61907	
3	1	3	218	200	90	0.45	0.6	3.41439	
3	1	3	219	600	384	0.64	0.5	0.631311	
3	1	3	220	400	4	0.01	0.01	1.63448	
3	1	3	221	500	415	0.83	0.7	1.5234	
3	1	3	222	400	352	0.88	0.7	1.33202	
3	1	3	223	300	66	0.22	0.4	4.19906	
3	1	3	224	600	468	0.78	0.8	0.570081	
3	1	3	225	300	261	0.87	0.8	0.817747	
3	1	3	226	400	244	0.61	0.7	1.23279	
3	1	3	227	200	198	0.99	0.998	0.921598	
3	1	3	228	300	120	0.4	0.6	2.49268	
3	1	3	229	500	75	0.15	0.3	0.979007	
3	1	3	230	600	480	0.8	0.7	2.25607	
3	1	3	231	600	210	0.35	0.49	3.33631	
3	1	3	232	300	21	0.07	0.6	8.8973	
3	1	3	233	400	172	0.43	0.5	0.347251	
3	1	3	234	500	250	0.5	0.6	1.28911	
3	1	3	235	400	56	0.14	0.2	0.0030165	
3	1	3	236	200	8	0.04	0.01	0.620037	
3	1	3	237	400	96	0.24	0.2	2.0814	
3	1	3	238	300	48	0.16	0.1	0.781858	
3	1	3	239	600	342	0.57	0.6	0.974496	
3	1	3	240	300	15	0.05	0.5	5.19168	
3	1	3	241	600	294	0.49	0.6	0.63038	
3	1	3	242	500	275	0.55	0.6	2.45372	
3	1	3	243	400	168	0.42	0.6	0.0620502	
3	1	3	244	500	375	0.75	0.7	0.799294	
3	1	3	245	200	46	0.23	0.4	0.144824	
3	1	3	246	400	128	0.32	0.7	1.22243	
3	1	3	247	300	27	0.09	0.22	0.0336139	
3	1	3	248	300	267	0.89	0.9	0.22797	
