Subject#	Target_color	Block#	Trial#	Numerosity	N_target	P_true	P_reported	RT	
6	2	1	1	400	300	0.75	0.6	1.37236	
6	2	1	2	400	368	0.92	0.95	1.14209	
6	2	1	3	300	219	0.73	0.7	1.11751	
6	2	1	4	300	243	0.81	0.85	1.71231	
6	2	1	5	400	56	0.14	0.15	0.45639	
6	2	1	6	200	20	0.1	0.01	1.40791	
6	2	1	7	300	231	0.77	0.66	1.98213	
6	2	1	8	500	340	0.68	0.9	0.707477	
6	2	1	9	600	456	0.76	0.466	2.86438	
6	2	1	10	200	78	0.39	0.25	0.709544	
6	2	1	11	200	84	0.42	0.02	0.796602	
6	2	1	12	500	435	0.87	0.95	0.554718	
6	2	1	13	200	18	0.09	0.05	1.9024	
6	2	1	14	300	3	0.01	0.001	0.753768	
6	2	1	15	600	126	0.21	0.5	0.0171656	
6	2	1	16	600	42	0.07	0.2	0.00300838	
6	2	1	17	300	246	0.82	0.7	0.790235	
6	2	1	18	500	95	0.19	0.3	0.681944	
6	2	1	19	500	205	0.41	0.4	0.0746278	
6	2	1	20	200	106	0.53	0.6	0.233829	
6	2	1	21	600	348	0.58	0.7	1.28939	
6	2	1	22	300	267	0.89	0.95	0.536431	
6	2	1	23	600	72	0.12	0.1	1.09891	
6	2	1	24	200	110	0.55	0.6	1.94956	
6	2	1	25	400	88	0.22	0.4	1.08218	
6	2	1	26	600	174	0.29	0.5	0.594155	
6	2	1	27	300	222	0.74	0.7	0.385562	
6	2	1	28	400	224	0.56	0.8	0.594843	
6	2	1	29	400	80	0.2	0.3	0.615947	
6	2	1	30	400	236	0.59	0.4	0.395133	
6	2	1	31	200	90	0.45	0.3	0.986308	
6	2	1	32	600	402	0.67	0.8	0.28732	
6	2	1	33	600	306	0.51	0.7	0.530875	
6	2	1	34	400	120	0.3	0.3	0.298165	
6	2	1	35	600	90	0.15	0.2	0.307553	
6	2	1	36	200	88	0.44	0.5	0.617286	
6	2	1	37	500	390	0.78	0.9	0.282333	
6	2	1	38	600	108	0.18	0.3	0.599558	
6	2	1	39	200	186	0.93	0.9	0.463293	
6	2	1	40	500	135	0.27	0.4	0.479543	
6	2	1	41	600	192	0.32	0.4	0.890834	
6	2	1	42	500	190	0.38	0.4	0.528003	
6	2	1	43	200	140	0.7	0.7	0.00306404	
6	2	1	44	600	36	0.06	0.1	0.657484	
6	2	1	45	300	264	0.88	0.8	1.21051	
6	2	1	46	600	300	0.5	0.7	0.649332	
6	2	1	47	400	16	0.04	0.1	1.83889	
6	2	1	48	500	270	0.54	0.5	0.477068	
6	2	1	49	500	200	0.4	0.3	0.276254	
6	2	1	50	400	112	0.28	0.2	0.489569	
6	2	1	51	400	388	0.97	0.99	0.445067	
6	2	1	52	300	75	0.25	0.3	0.445635	
6	2	1	53	600	474	0.79	0.8	0.388958	
6	2	1	54	200	100	0.5	0.6	0.560523	
6	2	1	55	300	189	0.63	0.7	0.424257	
6	2	1	56	300	141	0.47	0.6	0.462874	
6	2	1	57	500	470	0.94	0.9	1.21405	
