Subject#	Session#	Block#	Stim#	Trial#	Task	Numerosity	P_true	P_reported	x1	x2	CE	
15	1	1	165	1	2	0	0.99	0	200	150	183	
15	1	1	156	2	1	200	0.95	0.951541	0	0	0	
15	1	1	291	3	1	200	0.25	0.247593	0	0	0	
15	1	1	88	4	1	400	0.6	0.52866	0	0	0	
15	1	1	49	5	1	500	0.95	0.919705	0	0	0	
15	1	1	152	6	1	300	0.9	0.790673	0	0	0	
15	1	1	243	7	1	400	0.4	0.316076	0	0	0	
15	1	1	98	8	1	400	0.9	0.885596	0	0	0	
15	1	1	180	9	1	600	0.1	0.143179	0	0	0	
15	1	1	276	10	1	200	0.01	0.00534544	0	0	0	
15	1	1	330	11	1	600	0.99	0.999533	0	0	0	
15	1	1	72	12	2	0	0.4	0	150	50	112	
15	1	1	5	13	1	600	0.01	0.00261213	0	0	0	
15	1	1	51	14	2	0	0.25	0	200	0	92	
15	1	1	195	15	1	600	0.5	0.521026	0	0	0	
15	1	1	301	16	1	200	0.5	0.553676	0	0	0	
15	1	1	96	17	1	200	0.9	0.915795	0	0	0	
15	1	1	215	18	1	600	0.95	0.979139	0	0	0	
15	1	1	166	19	1	200	0.01	0.000263601	0	0	0	
15	1	1	31	20	2	0	0.1	0	25	0	5.5	
15	1	1	231	21	1	200	0.1	0.0816173	0	0	0	
15	1	1	31	22	1	200	0.6	0.578704	0	0	0	
15	1	1	193	23	1	400	0.5	0.521743	0	0	0	
15	1	1	11	24	2	0	0.01	0	100	50	61	
15	1	1	296	25	1	200	0.4	0.339031	0	0	0	
15	1	1	48	26	1	400	0.95	0.902916	0	0	0	
15	1	1	232	27	1	300	0.1	0.112188	0	0	0	
15	1	1	327	28	1	300	0.99	0.998445	0	0	0	
15	1	1	223	29	1	400	0.01	0.00117913	0	0	0	
15	1	1	124	30	1	500	0.1	0.0849123	0	0	0	
15	1	1	239	31	1	500	0.25	0.210853	0	0	0	
15	1	1	99	32	2	0	0.6	0	50	25	39.5	
15	1	1	127	33	1	300	0.25	0.350477	0	0	0	
15	1	1	103	34	1	400	0.95	0.905132	0	0	0	
15	1	1	122	35	2	0	0.9	0	50	0	45	
15	1	1	55	36	2	0	0.25	0	75	50	66.5	
15	1	1	73	37	1	400	0.25	0.242768	0	0	0	
15	1	1	153	38	1	400	0.9	0.864092	0	0	0	
15	1	1	6	39	2	0	0.01	0	200	0	44	
15	1	1	199	40	1	500	0.6	0.54989	0	0	0	
15	1	1	46	41	2	0	0.25	0	25	0	6.5	
15	1	1	186	42	1	200	0.4	0.409801	0	0	0	
15	1	1	20	43	1	600	0.25	0.286598	0	0	0	
15	1	1	45	44	2	0	0.1	0	200	150	163	
15	1	1	26	45	2	0	0.05	0	100	50	63	
15	1	1	275	46	1	600	0.99	0.997866	0	0	0	
15	1	1	9	47	2	0	0.01	0	50	25	27.5	
15	1	1	63	48	1	400	0.05	0.00966213	0	0	0	
15	1	1	286	49	1	200	0.1	0.0755049	0	0	0	
15	1	1	35	50	1	600	0.6	0.557952	0	0	0	
15	1	1	229	51	1	500	0.05	0.0724045	0	0	0	
15	1	1	10	52	1	600	0.05	0.0212632	0	0	0	
15	1	1	295	53	1	600	0.25	0.248902	0	0	0	
15	1	1	78	54	2	0	0.5	0	75	0	46.5	
15	1	1	10	55	2	0	0.01	0	75	50	56.5	
15	1	1	47	56	2	0	0.25	0	50	0	15	
15	1	1	2	57	1	300	0.01	0.00844143	0	0	0	
15	1	1	15	58	1	600	0.1	0.107371	0	0	0	
15	1	1	280	59	1	600	0.01	0.00290404	0	0	0	
15	1	1	54	60	2	0	0.25	0	50	25	25.5	
15	1	1	93	61	1	400	0.75	0.613698	0	0	0	
15	1	1	71	62	1	200	0.25	0.336267	0	0	0	
15	1	1	103	63	2	0	0.6	0	150	100	137	
15	1	1	226	64	1	200	0.05	0.0372429	0	0	0	
15	1	1	58	65	1	400	0.01	0.000754536	0	0	0	
15	1	1	131	66	1	200	0.4	0.536886	0	0	0	
15	1	1	66	67	2	0	0.4	0	200	0	100	
15	1	1	299	68	1	500	0.4	0.547709	0	0	0	
15	1	1	326	69	1	200	0.99	0.998082	0	0	0	
15	1	1	67	70	1	300	0.1	0.101365	0	0	0	
15	1	1	40	71	1	600	0.75	0.8007	0	0	0	
15	1	1	139	72	2	0	0.95	0	100	0	94	
15	1	1	13	73	2	0	0.01	0	150	100	125	
15	1	1	263	74	1	400	0.9	0.913832	0	0	0	
15	1	1	131	75	2	0	0.9	0	100	50	97	
15	1	1	81	76	1	200	0.5	0.5	0	0	0	
15	1	1	56	77	2	0	0.25	0	100	50	71	
15	1	1	130	78	2	0	0.9	0	75	50	65.5	
15	1	1	297	79	1	300	0.4	0.412675	0	0	0	
15	1	1	91	80	1	200	0.75	0.752827	0	0	0	
15	1	1	16	81	2	0	0.05	0	25	0	4.5	
15	1	1	34	82	2	0	0.1	0	100	0	22	
15	1	1	107	83	1	300	0.99	0.99404	0	0	0	
15	1	1	106	84	1	200	0.99	0.971559	0	0	0	
15	1	1	70	85	1	600	0.1	0.15344	0	0	0	
15	1	1	164	86	2	0	0.99	0	200	100	194	
15	1	1	30	87	2	0	0.05	0	200	150	161	
15	1	1	278	88	1	400	0.01	0.00602214	0	0	0	
15	1	1	52	89	2	0	0.25	0	400	0	168	
15	1	1	22	90	2	0	0.05	0	400	0	40	
15	1	1	143	91	2	0	0.95	0	800	0	752	
15	1	1	97	92	1	300	0.9	0.893164	0	0	0	
15	1	1	258	93	1	400	0.75	0.613937	0	0	0	
15	1	1	90	94	2	0	0.5	0	200	150	171	
15	1	1	28	95	2	0	0.05	0	150	100	113	
15	1	1	23	96	1	400	0.4	0.389832	0	0	0	
15	1	1	30	97	1	600	0.5	0.5	0	0	0	
15	1	1	221	98	1	200	0.01	0.00364265	0	0	0	
15	1	1	167	99	1	300	0.01	0.00284212	0	0	0	
15	1	2	298	100	1	400	0.4	0.456793	0	0	0	
15	1	2	133	101	1	400	0.4	0.5	0	0	0	
15	1	2	222	102	1	300	0.01	0.00153738	0	0	0	
15	1	2	162	103	2	0	0.99	0	150	50	136	
15	1	2	6	104	1	200	0.05	0.028269	0	0	0	
15	1	2	43	105	2	0	0.1	0	150	100	117	
15	1	2	29	106	1	500	0.5	0.590575	0	0	0	
15	1	2	162	107	1	300	0.99	0.996778	0	0	0	
15	1	2	314	108	1	500	0.75	0.626723	0	0	0	
15	1	2	57	109	1	300	0.01	0.00348785	0	0	0	
15	1	2	197	110	1	300	0.6	0.703274	0	0	0	
15	1	2	39	111	2	0	0.1	0	50	25	27.5	
15	1	2	106	112	2	0	0.75	0	25	0	18.5	
15	1	2	151	113	1	200	0.9	0.948737	0	0	0	
15	1	2	116	114	2	0	0.75	0	100	50	77	
15	1	2	36	115	2	0	0.1	0	200	0	28	
15	1	2	95	116	2	0	0.6	0	150	0	75	
15	1	2	189	117	1	500	0.4	0.457412	0	0	0	
15	1	2	46	118	1	200	0.95	0.98841	0	0	0	
15	1	2	324	119	1	500	0.95	0.966861	0	0	0	
15	1	2	112	120	2	0	0.75	0	400	0	296	
15	1	2	135	121	2	0	0.9	0	200	150	193	
15	1	2	170	122	1	600	0.01	0.00444318	0	0	0	
15	1	2	50	123	1	600	0.95	0.991236	0	0	0	
15	1	2	97	124	2	0	0.6	0	400	0	264	
15	1	2	114	125	2	0	0.75	0	50	25	37.5	
15	1	2	183	126	1	400	0.25	0.327248	0	0	0	
15	1	2	192	127	1	300	0.5	0.414591	0	0	0	
15	1	2	321	128	1	200	0.95	0.973827	0	0	0	
15	1	2	82	129	1	300	0.5	0.516316	0	0	0	
15	1	2	283	130	1	400	0.05	0.0427848	0	0	0	
15	1	2	303	131	1	400	0.5	0.61161	0	0	0	
15	1	2	254	132	1	500	0.6	0.652398	0	0	0	
15	1	2	52	133	1	300	0.99	0.993443	0	0	0	
15	1	2	117	134	2	0	0.75	0	150	50	124	
15	1	2	77	135	1	300	0.4	0.427492	0	0	0	
15	1	2	129	136	2	0	0.9	0	50	25	46.5	
