"SubjID","P_true","x1","x2","CE"
1,0.6,100,50,90.6325890994321
1,0.95,200,150,165.045595700851
1,0.5,200,100,135.452654528249
1,0.75,200,0,58.4515951678989
1,0.99,200,0,78.6511820780493
1,0.9,150,50,96.0366823054898
1,0.6,50,25,76.5131404515024
1,0.6,150,100,131.378408484893
1,0.1,150,50,82.6139820920069
1,0.9,200,0,53.5627175048809
1,0.6,200,0,-0.135327245610576
1,0.99,75,50,51.4518691269518
1,0.75,100,50,74.786223183866
1,0.95,50,25,11.6264114905747
1,0.05,400,0,61.8398724957815
1,0.4,75,50,46.3042875894243
1,0.25,150,0,-11.9857198083257
1,0.1,200,150,183.197044993166
1,0.95,200,100,134.920987584785
1,0.99,150,0,63.0939906168742
1,0.01,200,0,21.9218087198679
1,0.4,75,0,38.0778305656231
1,0.01,75,50,45.2112699321866
1,0.6,150,50,64.7578876292249
1,0.4,50,0,2.09247035278295
1,0.6,400,0,72.6950239866984
1,0.5,50,25,-5.70078760018009
1,0.4,800,0,184.096845546355
1,0.25,75,50,57.5402120404055
1,0.25,100,50,43.8607209279282
1,0.01,200,150,161.054521853254
1,0.75,150,0,50.1445200912991
1,0.01,150,100,124.798366822099
1,0.05,150,0,24.0219459820687
1,0.95,100,50,84.4510649882936
1,0.05,100,0,-28.9319261939252
1,0.4,200,0,57.6747065648958
1,0.9,75,50,58.2231978693121
1,0.1,75,50,41.0997134091509
1,0.9,200,150,162.82946932136
1,0.75,50,0,5.98150041870982
1,0.9,150,100,117.784017165283
1,0.6,200,100,197.40205570358
1,0.99,25,0,28.2213210000429
1,0.99,100,0,39.6440037079554
1,0.75,75,50,96.1531388602333
1,0.95,50,0,-22.6641228466576
1,0.1,400,0,89.4899227558135
1,0.25,50,0,23.0270203020075
1,0.1,200,100,154.08201847748
1,0.99,200,150,166.453643581594
1,0.25,200,100,145.158126834488
1,0.95,400,0,105.035052940005
1,0.25,200,0,27.3069519683526
1,0.75,50,25,33.8927302293182
1,0.4,200,150,156.654972404797
1,0.99,150,100,130.835606554501
1,0.1,100,0,22.6236572920438
1,0.95,200,0,34.2463288240471
1,0.05,50,0,34.6413020614004
1,0.5,150,50,67.3130970441863
1,0.01,150,50,97.6322820350411
1,0.95,150,100,74.5445069720904
1,0.9,400,0,115.380752654895
1,0.5,75,0,32.3984213487645
1,0.1,800,0,154.169182496208
1,0.9,150,0,82.4548993434934
1,0.75,200,100,138.570474359006
1,0.05,75,50,54.7233831058495
1,0.01,25,0,65.1900112142812
1,0.95,75,0,2.02598310314742
1,0.5,100,50,66.2788946591072
1,0.05,75,0,9.91255454774409
1,0.01,75,0,47.8476288791129
